info_about_run,training_dataset,text_tower_name,text_head_name,image_tower_name,image_head_name,text_tower_weight,text_head_weight,image_tower_weight,image_head_weight,text_tower_params,text_head_params,image_tower_params,image_head_params,text_tower_trainable_params,text_head_trainable_params,image_tower_trainable_params,image_head_trainable_params,imageNet_0shot_all_top_1,imageNet_0shot_all_top_5,imageNet_0shot_big_top_1,imageNet_0shot_big_top_5,imageNet_0shot_medium_top_1,imageNet_0shot_medium_top_5,imageNet_0shot_small_top_1,imageNet_0shot_small_top_5,imageNet_0shot_tiny_top_1,imageNet_0shot_tiny_top_5,flickr30l_image2text_top_1,flickr30l_image2text_top_5,flickr30l_image2text_top_10,flickr30l_text2image_top_1,flickr30l_text2image_top_5,flickr30l_text2image_top_10
baseline bad baseline,unknown (flickr?),BERT medium (42M),Projection Head,ViT small (22M),Projection Head,bad_baseline_text_enc_best_1.pt,bad_baseline_text_proj_best_1.pt,bad_baseline_img_enc_best_1.pt,bad_baseline_img_proj_best_1.pt,41373184,788224,21813504,657152,41373184,788224,21813504,657152,0.1,0.5,0.44709388971684055,1.1922503725782414,1.2704174228675136,4.174228675136116,6.3439065108514185,22.537562604340565,7.6923076923076925,38.46153846153847,3.125,15.625,31.149193548387093,3.125,15.625,31.25
baseline: baseline,unknown (flickr?),BERT medium (42M),Projection Head,ViT small (22M),Projection Head,prajjwal1/bert-medium,baseline_text_proj_best_1.pt,facebook/dino-vits16,baseline_img_proj_best_1.pt,41373184,788224,21813504,657152,0,788224,0,657152,1.04,4.5,0.4619970193740686,2.9061102831594634,2.1052631578947367,9.800362976406534,7.212020033388981,28.914858096828045,14.615384615384617,52.307692307692314,44.556451612903224,83.56854838709677,93.34677419354838,46.975806451612904,82.86290322580645,94.25403225806451
baseline: good baseline,unknown (flickr?),BERT medium (42M),Small MLP Head,ViT small (22M),Projection Head,prajjwal1/bert-medium,good_baseline_text_proj_best_1.pt,facebook/dino-vits16,good_baseline_img_proj_best_1.pt,41373184,5772032,21813504,657152,0,5772032,0,657152,0.8500000000000001,3.9600000000000004,0.47690014903129657,2.8763040238450075,1.6333938294010888,9.618874773139746,5.809682804674457,26.427378964941568,16.794871794871792,50.256410256410255,43.95161290322581,83.77016129032258,94.55645161290323,43.850806451612904,83.06451612903226,94.35483870967742
baseline: APE,unknown (flickr?),BERT medium (42M),Medium MLP Head,ViT small (22M),Projection Head,prajjwal1/bert-medium,APE_text_proj_best_1.pt,facebook/dino-vits16,APE_img_proj_best_1.pt,41373184,14164736,21813504,657152,0,14164736,0,657152,0.9400000000000001,3.3000000000000003,0.4023845007451565,2.205663189269747,1.6515426497277677,9.219600725952812,6.67779632721202,22.97161936560935,18.205128205128204,47.94871794871795,40.524193548387096,80.34274193548387,93.24596774193549,41.12903225806452,80.24193548387096,92.94354838709677
"LST (medium/medium), random init",MSCOCO,BERT base (108M),Projection Head,ViT base (86M),Projection Head,LST_text_enc_best_baseBERT_ViTb_mscoco_LilT.pt,LST_text_proj_best_baseBERT_ViTb_mscoco_LilT.pt,LST_img_enc_best_baseBERT_ViTb_mscoco_LilT.pt,LST_img_proj_best_baseBERT_ViTb_mscoco_LilT.pt,111267949,1050368,88174957,1050368,2376301,1050368,2377837,1050368,0.16999999999999998,0.5599999999999999,0.11922503725782414,1.713859910581222,2.196007259528131,5.952813067150635,2.954924874791319,17.245409015025043,7.82051282051282,36.53846153846153,3.5282258064516134,15.625,31.85483870967742,3.326612903225806,16.33064516129032,31.350806451612907
"LST (medium/medium), smart init",MSCOCO,BERT base (108M),Projection Head,ViT base (86M),Projection Head,LST_text_enc_best_baseBERT_ViTb_mscoco_LilT_smartinit.pt,LST_text_proj_best_baseBERT_ViTb_mscoco_LilT_smartinit.pt,LST_img_enc_best_baseBERT_ViTb_mscoco_LilT_smartinit.pt,LST_img_proj_best_baseBERT_ViTb_mscoco_LilT_smartinit.pt,111267949,1050368,88174957,1050368,2376301,1050368,2377837,1050368,0.11,0.61,0.14903129657228018,0.8941877794336811,0.617059891107078,3.8475499092558985,5.075125208681135,19.482470784641066,7.307692307692308,40.0,2.9233870967741935,17.943548387096776,32.76209677419355,2.82258064516129,19.153225806451612,34.979838709677416
"LST (I=medium/T=medium), longer training",unknown (MSCOCO?),BERT base (108M),Projection Head,ViT base (86M),Projection Head,LST_text_enc_best_LST_Imedium_Tmedium_complete.pt,LST_text_proj_best_LST_Imedium_Tmedium_complete.pt,LST_img_enc_best_LST_Imedium_Tmedium_complete.pt,LST_img_proj_best_LST_Imedium_Tmedium_complete.pt,111267949,1050368,88174957,1050368,2376301,1050368,2377837,1050368,3.61,12.02,0.49180327868852464,2.339791356184799,1.7422867513611617,12.250453720508167,9.79966611018364,35.52587646076795,22.435897435897438,63.33333333333333,39.818548387096776,77.62096774193549,90.7258064516129,42.54032258064516,76.81451612903226,88.50806451612904
"LST (I=medium/T=medium), shorter training",unknown (MSCOCO? or maybe flickr?),BERT base (108M),Projection Head,ViT base (86M),Projection Head,LST_text_enc_best_LST_Imedium5_Tmedium3.pt,LST_text_proj_best_LST_Imedium5_Tmedium3.pt,LST_img_enc_best_LST_Imedium5_Tmedium3.pt,LST_img_proj_best_LST_Imedium5_Tmedium3.pt,111267949,1050368,88174957,1050368,2376301,1050368,2377837,1050368,3.53,11.360000000000001,0.6855439642324889,2.593144560357675,2.0689655172413794,13.702359346642467,9.632721202003339,35.242070116861434,25.384615384615383,68.97435897435898,34.07258064516129,71.06854838709677,85.98790322580645,34.57661290322581,70.46370967741935,83.26612903225806
LST (I=medium/T=small),unknown (MSCOCO?),BERT medium (42M),Projection Head,ViT base (86M),Projection Head,LST_text_enc_best_LST_Imedium_Tsmall.pt,LST_text_proj_best_LST_Imedium_Tsmall.pt,LST_img_enc_best_LST_Imedium_Tsmall.pt,LST_img_proj_best_LST_Imedium_Tsmall.pt,41839177,788224,88174957,1050368,728649,788224,2377837,1050368,1.0,4.88,0.6855439642324889,2.488822652757079,1.6152450090744102,7.9491833030853,6.043405676126879,30.01669449081803,18.205128205128204,54.61538461538461,24.495967741935484,62.6008064516129,80.74596774193549,24.39516129032258,62.3991935483871,79.83870967741935
LST (I=medium/T=small),"unknown (MSCOCO?), special lr5",BERT medium (42M),Projection Head,ViT base (86M),Projection Head,LST_text_enc_best_LST_Imedium_Tsmall_lr5.pt,LST_text_proj_best_LST_Imedium_Tsmall_lr5.pt,LST_img_enc_best_LST_Imedium_Tsmall_lr5.pt,LST_img_proj_best_LST_Imedium_Tsmall_lr5.pt,41839177,788224,88174957,1050368,728649,788224,2377837,1050368,3.85,12.27,0.834575260804769,2.8614008941877795,3.2667876588021776,13.284936479128856,8.130217028380635,32.92153589315526,21.41025641025641,60.0,39.516129032258064,74.79838709677419,86.89516129032258,40.725806451612904,73.79032258064517,85.68548387096774
"LST (I=small/T=medium), lr3",unknown (MSCOCO?),BERT base (108M),Projection Head,ViT small (22M),Projection Head,LST_text_enc_best_LST_Ismall_Tmedium_lr3.pt,LST_text_proj_best_LST_Ismall_Tmedium_lr3.pt,LST_img_enc_best_LST_Ismall_Tmedium_lr3.pt,LST_img_proj_best_LST_Ismall_Tmedium_lr3.pt,111267949,1050368,22263997,657152,2376301,1050368,599101,657152,3.1300000000000003,11.43,0.5067064083457526,2.235469448584203,2.196007259528131,12.649727767695099,9.298831385642737,30.884808013355592,22.30769230769231,62.82051282051282,37.70161290322581,71.7741935483871,85.28225806451613,37.29838709677419,72.68145161290323,84.57661290322581
